scenario,algorithm,optimizer,time_sec,best_params,accuracy_cv_mean,precision_cv_mean,recall_cv_mean,f1_cv_mean,roc_auc_cv_mean,kappa_cv_mean,accuracy_cv_std,precision_cv_std,recall_cv_std,f1_cv_std,roc_auc_cv_std,kappa_cv_std,accuracy_test,precision_test,recall_test,f1_test,roc_auc_test,kappa_test
normal,mlp,grid,16.05882954597473,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100,)}",0.8517857142857143,0.8843629224931489,0.8107142857142857,0.8451035111845118,0.9126913265306122,0.7035714285714286,0.019024353350591508,0.02529108678459615,0.039285714285714306,0.021642836884222652,0.02153612436166468,0.03804870670118306,0.705,0.7913669064748201,0.7857142857142857,0.7885304659498208,0.7042857142857144,0.30094786729857825
normal,mlp,random,13.184178113937378,"{'alpha': np.float64(0.0015701864044243652), 'hidden_layer_sizes': (57,), 'learning_rate_init': np.float64(0.0016599452033620266)}",0.8473214285714287,0.8844008197844827,0.8,0.8393145818834379,0.9044642857142857,0.6946428571428571,0.014229801295097518,0.01706482888326295,0.03895968612369899,0.01834400808721245,0.018068261620181485,0.028459602590195043,0.695,0.7925925925925926,0.7642857142857142,0.7781818181818182,0.7395238095238096,0.2906976744186046
normal,mlp,genetic,196.13704013824463,"{'hidden_layer_sizes': (50,), 'alpha': np.float64(0.004738091323621077), 'learning_rate_init': np.float64(0.006718400176007823)}",0.8598214285714285,0.8938562407351446,0.8178571428571428,0.8534680406674955,0.9219706632653061,0.7196428571428571,0.01754185955748972,0.025853359424222712,0.03462628469583091,0.019786523238851945,0.017262544534133714,0.03508371911497948,0.715,0.8029197080291971,0.7857142857142857,0.7942238267148014,0.7247619047619048,0.33098591549295775
pca_3,rf,grid,4.429546356201172,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.6741071428571429,0.6574897807506503,0.7285714285714284,0.6908093917015374,0.7184948979591836,0.34821428571428575,0.025253813613805267,0.024658279476662177,0.03462628469583093,0.024141560508558133,0.027401602726082233,0.05050762722761055,0.68,0.7676056338028169,0.7785714285714286,0.7730496453900709,0.6672619047619048,0.23076923076923084
pca_3,rf,random,10.466094017028809,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 142}",0.6732142857142858,0.6564004172156346,0.7285714285714286,0.6900440446622967,0.7198979591836735,0.3464285714285714,0.0347412079613281,0.03141744918046504,0.04778245771521303,0.03390490667715723,0.030115515781574995,0.06948241592265615,0.68,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.6653571428571429,0.23809523809523814
pca_3,rf,bayes,34.618125438690186,"OrderedDict([('max_depth', 10), ('min_samples_split', 6), ('n_estimators', 245)])",0.6741071428571429,0.6566062983211538,0.7303571428571427,0.6912156339359316,0.716501913265306,0.3482142857142857,0.024936142935301706,0.022030572889967404,0.03720119045714224,0.02559571421920911,0.02490586778982878,0.04987228587060334,0.65,0.7536231884057971,0.7428571428571429,0.7482014388489209,0.6575000000000001,0.17452830188679247
pca_3,rf,genetic,116.88248658180237,"{'n_estimators': 61, 'max_depth': None, 'min_samples_split': 8}",0.6857142857142857,0.6756910722128112,0.7142857142857144,0.6939374868890287,0.722688137755102,0.37142857142857144,0.01885599293030615,0.015054428360591504,0.04187871214128063,0.023865722563969904,0.017707296536234384,0.03771198586061228,0.665,0.7874015748031497,0.7142857142857143,0.7490636704119851,0.6721428571428572,0.2488789237668162
pca_3,knn,grid,0.10926175117492676,"{'n_neighbors': 17, 'weights': 'distance'}",0.6848214285714285,0.6988935218856195,0.65,0.6734675409622297,0.7521683673469386,0.3696428571428571,0.01708136291938303,0.02001824006298042,0.017313142347915433,0.01693029083641664,0.028160941144556542,0.03416272583876606,0.58,0.75,0.6,0.6666666666666666,0.6019047619047619,0.11764705882352944
pca_3,knn,random,0.24243974685668945,"{'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.6973214285714284,0.7179490360702852,0.6517857142857142,0.6830801438128613,0.7572943239795917,0.3946428571428572,0.02385783788551319,0.03118873026951,0.016940773179473484,0.021481539044449976,0.03062488528488112,0.04771567577102638,0.575,0.7272727272727273,0.6285714285714286,0.6743295019157088,0.5726190476190476,0.07205240174672478
pca_3,knn,bayes,9.36129093170166,"OrderedDict([('n_neighbors', 24), ('p', 2), ('weights', 'distance')])",0.6955357142857143,0.7134669077918142,0.6535714285714286,0.682151309058425,0.7588488520408163,0.39107142857142857,0.021760817155274892,0.02367675458769139,0.024222607082590223,0.02325422204552715,0.02488644703561221,0.0435216343105498,0.615,0.7647058823529411,0.65,0.7027027027027027,0.6132142857142857,0.16666666666666674
pca_3,knn,genetic,3.2157633304595947,"{'n_neighbors': 8, 'weights': 'distance', 'p': 2}",0.6973214285714284,0.7179490360702852,0.6517857142857142,0.6830801438128613,0.7572943239795917,0.3946428571428572,0.02385783788551319,0.03118873026951,0.016940773179473484,0.021481539044449976,0.03062488528488112,0.04771567577102638,0.575,0.7272727272727273,0.6285714285714286,0.6743295019157088,0.5726190476190476,0.07205240174672478
pca_3,svm,grid,2.288893461227417,"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6499999999999999,0.6292300993028463,0.7357142857142857,0.6780224776116012,0.7017857142857142,0.3,0.037093889424716045,0.03491768407208475,0.02562982159715593,0.028893942752188737,0.029594491065091103,0.07418777884943209,0.655,0.7709923664122137,0.7214285714285714,0.7453874538745388,0.6406547619047619,0.21232876712328763
pca_3,svm,random,3.2872226238250732,"{'C': np.float64(7.41993941811405), 'gamma': 'scale', 'kernel': 'rbf'}",0.6535714285714286,0.6331958881637895,0.7357142857142857,0.6803856367963268,0.703109056122449,0.3071428571428571,0.03938704464305854,0.037727597922894755,0.022303564279994286,0.03056635026520177,0.03252212586184152,0.07877408928611705,0.65,0.7692307692307693,0.7142857142857143,0.7407407407407407,0.6394047619047618,0.20454545454545459
